"api_family","section","endpoint_name","method","documented_url","endpoint_key","parigo_relevance","audit_execution","evidence_source","rationale"
"Public API","Public API > Getting Started","Get Authorised","POST","{HM_ServiceAPI_AuthUrl}","oauth2/token","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Getting Started","Get Service Token","GET","{HM_ServiceAPI_URL}/getservicetoken","getservicetoken","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Getting Started","Validate Service Token","GET","{HM_ServiceAPI_URL}/getservicetokeninfo/{HM_ServiceAPI_Token}","getservicetokeninfo","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Getting Started","Expire Service Token","GET","{HM_ServiceAPI_URL}/expiretoken/{HM_ServiceAPI_Token}","expiretoken","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Service Information","Get Service Info (Service Asset URLs and File Formats)","GET","{HM_ServiceAPI_URL}/getserviceinfo/{HM_ServiceAPI_Token}","getserviceinfo","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Service Information","Get Service Attributes","GET","{HM_ServiceAPI_URL}/getserviceattribute/{HM_ServiceAPI_Token}/{attributeTypeCode}","getserviceattribute","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Service Information","Get Short URL","POST","{HM_ServiceAPI_URL}/getshorturl/{HM_ServiceAPI_Token}","getshorturl","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Regions & Countries","Get Regions","GET","{HM_ServiceAPI_URL}/getregions/{HM_ServiceAPI_Token}","getregions","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Regions & Countries","Get Region","GET","{HM_ServiceAPI_URL}/getregion/{HM_ServiceAPI_Token}/{RegionID}","getregion","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Regions & Countries","Get Regions By IP","GET","{HM_ServiceAPI_URL}/getregionbyip/{HM_ServiceAPI_Token}?ip={IP}","getregionbyip","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Regions & Countries","Get Countries","GET","{HM_ServiceAPI_URL}/getcountries/{HM_ServiceAPI_Token}","getcountries","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Guest Management","Authenticate Guest Member","GET","{HM_ServiceAPI_URL}/getguestmembertoken/{HM_ServiceAPI_Token}/{Region_ID}","getguestmembertoken","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Accessing Metadata > Libraries","Get Labels/Libraries","GET","{HM_ServiceAPI_URL}/getlibraries/{HM_ServiceAPI_MemberToken}","getlibraries","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
